
air_quality,air_quality_raw,comfort,humidity,light,light_digital,light_raw,noise,noise_db,temperature,timestamp,people,occupancy_status
bom,135,bom,34.0,bom,0,145,baixo,31.00728,21.7,2026-05-16 11:23:38,0,
bom,103,bom,34.0,bom,0,147,baixo,32.26772,21.7,2026-05-16 11:24:08,0,
bom,105,bom,34.0,bom,0,117,baixo,31.23172,21.6,2026-05-16 11:24:39,0,
bom,121,bom,34.0,bom,0,147,moderado,35.06708,21.8,2026-05-16 11:25:09,0,
bom,123,bom,34.0,bom,0,155,moderado,53.596,21.7,2026-05-16 11:25:39,0,
bom,108,bom,34.0,bom,0,151,baixo,30.94548,21.7,2026-05-16 11:26:09,0,
bom,112,bom,34.0,bom,0,148,baixo,33.29675,21.7,2026-05-16 11:26:39,0,
bom,103,bom,34.0,bom,0,149,baixo,31.12044,21.7,2026-05-16 11:27:09,0,
bom,108,bom,34.0,bom,0,139,baixo,31.9039,21.7,2026-05-16 11:27:39,0,
bom,85,bom,34.0,bom,0,135,baixo,30.87039,21.8,2026-05-16 11:28:09,0,
bom,106,bom,34.0,bom,0,159,baixo,32.57098,21.7,2026-05-16 11:28:39,0,
bom,111,bom,34.0,bom,0,151,baixo,32.12264,21.7,2026-05-16 11:29:09,0,
bom,110,bom,34.0,bom,0,152,baixo,32.06598,21.7,2026-05-16 11:29:39,0,
bom,123,bom,34.0,bom,0,147,baixo,32.93029,21.8,2026-05-16 11:30:09,0,
bom,139,bom,34.0,bom,0,145,baixo,33.82313,21.8,2026-05-16 11:30:39,0,
bom,85,bom,34.0,bom,0,138,baixo,32.27294,21.8,2026-05-16 11:31:09,0,
bom,115,bom,34.0,bom,0,147,baixo,31.52525,21.8,2026-05-16 11:31:39,0,
bom,111,bom,34.0,bom,0,149,baixo,33.17917,21.8,2026-05-16 11:32:09,0,
bom,103,bom,34.0,bom,0,152,moderado,40.33736,21.8,2026-05-16 11:32:39,0,
bom,124,bom,34.0,bom,0,158,moderado,35.07345,21.8,2026-05-16 11:33:09,0,
bom,107,bom,34.0,bom,0,145,baixo,32.28381,21.8,2026-05-16 11:33:39,0,
bom,147,bom,34.0,bom,0,152,moderado,35.51617,21.9,2026-05-16 11:34:09,0,
bom,87,bom,34.0,bom,0,142,moderado,39.82313,21.9,2026-05-16 11:34:39,0,
bom,92,bom,34.0,bom,0,153,baixo,30.92421,21.9,2026-05-16 11:35:09,0,
bom,151,bom,34.0,bom,0,151,baixo,31.58583,22.0,2026-05-16 11:35:39,0,
bom,99,bom,34.0,bom,0,147,baixo,32.81367,22.0,2026-05-16 11:36:09,0,
bom,106,bom,34.0,bom,0,151,baixo,33.12613,22.0,2026-05-16 11:36:39,0,
bom,117,bom,34.0,bom,0,131,baixo,32.66362,22.1,2026-05-16 11:37:09,0,
bom,139,bom,34.0,bom,0,154,baixo,33.68649,22.1,2026-05-16 11:37:39,0,
bom,151,bom,34.0,bom,0,133,baixo,32.65137,22.1,2026-05-16 11:38:09,0,
bom,149,bom,34.0,bom,0,147,baixo,31.65825,22.1,2026-05-16 11:38:39,0,
